issuedId,archetypeId,eventName,price,fromUser,toUser,date
1255,BT0_MysteryBox_Exclusive,burn,,bitvm,---,2023-10-15T15:45:42.396Z
1725,BT0_MysteryBox_Exclusive,sale,115.0,tangcb,bitvm,2023-10-15T15:43:53.261Z
1255,BT0_MysteryBox_Exclusive,sale,119.0,Azrad339,bitvm,2023-10-15T15:43:53.261Z
1709,BT0_MysteryBox_Exclusive,sale,115.0,iiiii,bitvm,2023-10-15T15:43:53.261Z
93,BT0_MysteryBox_Exclusive,sale,109.0,goda,bitvm,2023-10-15T15:43:53.261Z
1694,BT0_MysteryBox_Exclusive,sale,115.0,crfcrfcrf,bitvm,2023-10-15T15:43:53.261Z
714,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:09:31.463Z
716,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:09:12.704Z
668,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:09:02.159Z
713,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:08:49.407Z
678,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:08:37.491Z
684,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:08:24.253Z
679,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:08:13.923Z
677,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:08:04.467Z
971,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:07:54.044Z
367,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:07:43.588Z
712,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:07:31.198Z
626,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:07:19.277Z
404,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:07:05.703Z
870,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:06:55.848Z
911,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:06:44.380Z
905,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:06:33.094Z
886,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:06:19.901Z
812,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:06:09.898Z
568,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:05:57.939Z
814,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:05:48.335Z
873,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:05:38.262Z
802,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:05:28.439Z
871,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:05:18.903Z
869,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:05:06.852Z
1137,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:04:56.645Z
811,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:04:42.798Z
804,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:04:33.117Z
809,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:04:23.199Z
868,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:04:12.406Z
786,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:04:02.480Z
953,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:03:52.217Z
880,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:03:42.346Z
803,BT0_MysteryBox_Exclusive,burn,,ExaltedLarge,---,2023-10-15T15:03:32.123Z
